word,StackTrain,MoocReactive
obtainhanwindow,3.841481608906895e-06,0.0
squarewav,7.48053259297098e-06,0.0
honeslti,3.841481608906895e-06,0.0
perspect,0.0001821476979179598,2.392875244712874e-05
ass,3.841481608906895e-06,0.0
ballpark,1.1005358668394515e-05,0.0
addendum,7.48053259297098e-06,0.0
astray,3.841481608906895e-06,0.0
trilinear,1.1524444826720685e-05,0.0
unconvinc,3.841481608906895e-06,0.0
pre-multipli,3.841481608906895e-06,0.0
lobdel,3.841481608906895e-06,0.0
cic,8.318453435092868e-05,0.0
quickli,0.00014267089505234852,6.683711421986474e-05
physiolog,7.48053259297098e-06,0.0
interrest,3.841481608906895e-06,0.0
firm,6.932044529244057e-06,5.737177192736359e-05
follow-on,1.1005358668394515e-05,0.0
green,0.0003496507277106146,0.00020942110805121844
concav,2.1172543806995816e-05,0.0
exemplar,3.841481608906895e-06,0.0
sub-mm,3.841481608906895e-06,0.0
naturalpoint,3.841481608906895e-06,0.0
excit,0.0002152775729759161,0.0
blank,2.7728178116976226e-05,0.0
standardis,3.841481608906895e-06,0.0
fix,0.0003847154797097064,0.000666424008605587
nash-equilibrium,1.1524444826720685e-05,0.0
ex-or,3.841481608906895e-06,0.0
indefinit,7.134475154086866e-06,2.95235755941076e-05
